"name","label","typeName","alias","country","dataset","dictionary","entity"
"H2819A","Heladera","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H2819B","Computadora","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H2819C","Teléfono celular","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H2819D","Teléfono de línea","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H05M","Alguna persona descendiente de indigenas","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H05P","Total de Personas descendiente de indigenas","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"CODPUEBLO","Pueblo al que pertenece","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H06M","Alguna persona es afrodescendiente","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H06P","Total de Personas afrodescendientes","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H08A","Material predominante de las paredes exteriores","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H09A","Revestimiento externo de las paredes exteriores","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H12A","Tenencia de Electricidad","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H19A","Instalación de Agua en Cocina","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H23","Antiguedad de la vivienda","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H26","La vivienda esta totalmente paga","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"H27","La vivienda esta escriturada","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"EXPH","Expansor","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"NBI1","NBI Vivienda","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"NBI2","NBI Condiciones sanitarias","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"NBI4","NBI Asistencia escolar","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"PROP","Régimen de tenencia","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"TOTPERS","Total de Personas en el Hogar","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"INDHAC","Hacinamiento","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"NBI5","NBI Capacidad de subsistencia","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
