country,dataset,entity,name,label,typeName,tema_detectado
argentina,CP2010ARG,VIVIENDA,CC2,Basural permanente a 300 metros,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,CC3,Servicio de cloacas,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,CC4,Servicio de agua de red,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,CC5,Servicio de gas de red,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,CC6,Servicio de energía electrica por red domiciliaria,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,CC7,Servicio regular de recolección de residuos,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,CC8,Transporte público a 300 metros,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,CC9,Teléfono público a 300 metros,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,CODAGLO,Código de Aglomerado,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,CODENT,Código de Entidad,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,CODLOC,Código de Localidad,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,CODMUNI,Código de Municipio,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,ENTIDAD,Barrio / Entidad,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,EXPV,Expansor,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,INCALCONS,Calidad constructiva de la vivienda,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,INCALSERV,Calidad de Conexiones a Servicios Básicos,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,INMAT,Calidad de los materiales,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,LOCAL,Localidad,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,MUNI,Municipio,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,TIPVV,Tipo de vivienda agrupado,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,TOTHOG,Cantidad de Hogares en la Vivienda,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,URP,Area Urbano - Rural,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,V00,Tipo de vivienda colectiva,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,V00O,Otros tipo de vivienda colectiva,string,sin_clasificar
argentina,CP2010ARG,VIVIENDA,V01,Tipo de vivienda particular,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,V01C,Casa tipo B,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,V02,Condición de ocupación,integer,sin_clasificar
argentina,CP2010ARG,VIVIENDA,V03,Cantidad de hogares,integer,sin_clasificar
brasil,CP2010BRA,APOND,APOND,Área de Ponderação,integer,sin_clasificar
brasil,CP2010BRA,APOND,APONDNOME,Nome das Áreas de Ponderação,string,sin_clasificar
brasil,CP2010BRA,APOND,APONDTIPO,Tipo das Áreas de Ponderação,integer,sin_clasificar
brasil,CP2010BRA,APOND,IDAPOND,Identificação de Área de Ponderação,string,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0201,Marca de imputação na V0201,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0202,Marca de imputação na V0202,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0203,Marca de imputação na V0203,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0204,Marca de imputação na V0204,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0205,Marca de imputação na V0205,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0206,Marca de imputação na V0206,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0207,Marca de imputação na V0207,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0208,Marca de imputação na V0208,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0209,Marca de imputação na V0209,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0210,Marca de imputação na V0210,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0211,Marca de imputação na V0211,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0212,Marca de imputação na V0212,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0213,Marca de imputação na V0213,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0214,Marca de imputação na V0214,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0215,Marca de imputação na V0215,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0216,Marca de imputação na V0216,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0217,Marca de imputação na V0217,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0218,Marca de imputação na V0218,integer,sin_clasificar
brasil,CP2010BRA,DMARCAS,M0219,Marca de imputação na V0219,integer,sin_clasificar
