name,label,typeName,alias,country,dataset,dictionary,entity,theme_hits
C5P97,P: Población con discapacidad: Ninguna,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
EDQUINQ,P: Edad en grupos quinquenales,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,edad;entidad
FACTORPOND,Población total,real,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,ponderador;entidad
P03ESC,"P: Población de 3 a 24 años, por grupo de edad",integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,edad;entidad
P03GQ15M,P: Población de 15 años a más en grupos quinquenales,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,edad;entidad
P08AFILIA,Población afiliada a seguros de salud,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
P09DISC,Población con alguna discapacidad,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,entidad
PAREA,P: Área concepto censal,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,geografia;entidad
PENCARE,P: Área concepto encuesta,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,geografia;entidad
PET,P15a+: Población en edad de trabajar - PET,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PERSONA,edad;entidad
CCPP,Provincia,string,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PROVINCI,geografia
NCCPP,Provincia,string,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,PROVINCI,geografia
C2P1,V: Tipo de vivienda,integer,TIPOVIV,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P10,V: Servicio higiénico que tiene la vivienda,integer,HIGIENICO,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P11,V: La vivienda tiene alumbrado eléctrico por red pública,integer,LUZ,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P12,V: Nro. de habitaciones que tiene en total la vivienda,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P13,V: Tenencia de la vivienda - La vivienda que ocupa es:,integer,TENENCIA,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P2,V: Condición de ocupación de la vivienda,integer,CONDOCUP,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P3,V: Material de construcción predominante en las paredes,integer,PARED,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P4,V: Material de construcción predominante en los techos,integer,TECHO,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P5,V: Material de construcción predominante en los pisos,integer,PISO,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P6,V: Abastecimiento de agua en la vivienda,integer,AGUAOROC,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P7,V: Servicio de agua - Todos los días de la semana,integer,DIARIO,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P7A,V: Servicio de agua - En la semana ¿Cuántas horas por día?,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P7B,V: Servicio de agua - Solo algunos días a la semana,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P7C,V: Servicio de agua - Por los días de la semana ¿Cuántas horas al día?,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P8,V: ¿Pagan por el servicio de agua?,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
C2P9,V: A qué empresa o entidad se paga por el servicio de agua,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
ENCAREA,V: Área concepto encuesta,integer,AREA,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;geografia;entidad
TOTELD,V: Indicador de vivienda con adulto mayor,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;entidad
VAREA,V: Área concepto censal,integer,,peru,CP2017PER,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D.dicX,VIVIENDA,vivienda;geografia;entidad
