country,dataset,entity,name,label,typeName,tema,subtema
brasil,CP2010BRA,PESSOA,FINVHOM,Filhos nascidos vivos (homens),integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,FINVMUL,Filhas nascidas vivas (mulheres),integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,FINVTOT,Filhos nascidos vivos (total),integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,FIULT,Existência de filho tido nascido vivo no último ano,integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,FIULTVIVO,Este filho estava vivo,integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,FIVIHOM,Filhos vivos (homens),integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,FIVIID,Idade do último filho nascido vivo,integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,FIVIMUL,Filhas vivas (mulheres),integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,FIVISEXO,Sexo do último filho nascido vivo,integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,FIVITOT,Filhos vivos (total),integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,MAEVIVA,Tem mãe viva,integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,RETORNA,Retorna do trabalho para casa diariamente,integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,TEMFIVI,Tem filhos vivos,integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,TEVEFINV,Teve filhos e filhas nascidos vivos,integer,vivienda,vivienda_general
brasil,CP2010BRA,PESSOA,VIVE,Vive em companhia de cônjuge ou companheiro(a),integer,vivienda,vivienda_general
chile,CP2017CHL,VIVIENDA,P05,Origen del Agua,integer,vivienda,agua
chile,CP2017CHL,VIVIENDA,P04,Número de piezas usadas exclusivamente como dormitorio,integer,vivienda,hacinamiento
chile,CP2017CHL,VIVIENDA,P03A,Material de los muros exteriores,integer,vivienda,materialidad
chile,CP2017CHL,VIVIENDA,P03B,Material en la cubierta del techo,integer,vivienda,materialidad
chile,CP2017CHL,VIVIENDA,P03C,Material de construcción del piso,integer,vivienda,materialidad
chile,CP2017CHL,ZONALOC,IDZC,Zona Censal/Localidad,string,vivienda,materialidad
chile,CP2017CHL,ZONALOC,NLOCALIDAD,Localidades,string,vivienda,materialidad
chile,CP2017CHL,HOGAR,NHOGAR,Número del hogar,integer,vivienda,vivienda_general
chile,CP2017CHL,HOGAR,TIPO_HOGAR,Tipo de hogar,integer,vivienda,vivienda_general
chile,CP2017CHL,PERSONA,P19,Total hijos/as nacidos vivos,integer,vivienda,vivienda_general
chile,CP2017CHL,PERSONA,P20,Total hijos/as actualmente vivos,integer,vivienda,vivienda_general
chile,CP2017CHL,VIVIENDA,CANT_HOG,Cantidad de Hogares,integer,vivienda,vivienda_general
chile,CP2017CHL,VIVIENDA,CANT_PER,Cantidad de Personas,integer,vivienda,vivienda_general
chile,CP2017CHL,VIVIENDA,NVIV,Número de la Vivienda,integer,vivienda,vivienda_general
chile,CP2017CHL,VIVIENDA,P01,Tipo de Vivienda,integer,vivienda,vivienda_general
chile,CP2017CHL,VIVIENDA,P02,Ocupación de la Vivienda,integer,vivienda,vivienda_general
peru,CP2017PER,VIVIENDA,C2P6,V: Abastecimiento de agua en la vivienda,integer,vivienda,agua
peru,CP2017PER,VIVIENDA,C2P7,V: Servicio de agua - Todos los días de la semana,integer,vivienda,agua
peru,CP2017PER,VIVIENDA,C2P7A,V: Servicio de agua - En la semana ¿Cuántas horas por día?,integer,vivienda,agua
peru,CP2017PER,VIVIENDA,C2P7B,V: Servicio de agua - Solo algunos días a la semana,integer,vivienda,agua
peru,CP2017PER,VIVIENDA,C2P7C,V: Servicio de agua - Por los días de la semana ¿Cuántas horas al día?,integer,vivienda,agua
peru,CP2017PER,VIVIENDA,C2P8,V: ¿Pagan por el servicio de agua?,integer,vivienda,agua
peru,CP2017PER,VIVIENDA,C2P9,V: A qué empresa o entidad se paga por el servicio de agua,integer,vivienda,agua
peru,CP2017PER,HOGAR,C3P11,H: La energía o combustible que utiliza para cocinar: electricidad,integer,vivienda,electricidad
peru,CP2017PER,HOGAR,C3P12,H: La energía o combustible que utiliza para cocinar: gas (balón GLP),integer,vivienda,electricidad
peru,CP2017PER,HOGAR,C3P13,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),integer,vivienda,electricidad
peru,CP2017PER,HOGAR,C3P14,H: La energía o combustible que utiliza para cocinar: carbón,integer,vivienda,electricidad
peru,CP2017PER,HOGAR,C3P15,H: La energía o combustible que utiliza para cocinar: leña,integer,vivienda,electricidad
peru,CP2017PER,HOGAR,C3P16,"H: La energía o combustible que utiliza para cocinar: bosta, estiércol",integer,vivienda,electricidad
peru,CP2017PER,HOGAR,C3P17,"H: La energía o combustible que utiliza para cocinar: otros (residuos agrícolas, etc.)",integer,vivienda,electricidad
peru,CP2017PER,HOGAR,C3P18,H: La energía o combustible que utiliza para cocinar: NO COCINAN,integer,vivienda,electricidad
peru,CP2017PER,VIVIENDA,C2P12,V: Nro. de habitaciones que tiene en total la vivienda,integer,vivienda,hacinamiento
peru,CP2017PER,VIVIENDA,C2P3,V: Material de construcción predominante en las paredes,integer,vivienda,materialidad
peru,CP2017PER,VIVIENDA,C2P4,V: Material de construcción predominante en los techos,integer,vivienda,materialidad
peru,CP2017PER,VIVIENDA,C2P5,V: Material de construcción predominante en los pisos,integer,vivienda,materialidad
peru,CP2017PER,HOGAR,C3P21,H: Su hogar tiene: Equipo de sonido,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P210,H: Su hogar tiene: Teléfono celular,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P211,H: Su hogar tiene: Teléfono fijo,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P212,H: Su hogar tiene: Conexión a TV por cable o satelital,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P213,H: Su hogar tiene: Conexión a Internet,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P214,"H: Su hogar tiene: Automóvil, camioneta",integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P215,H: Su hogar tiene: Motocicleta,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P216,"H: Su hogar tiene: Lancha, bote motor, peque peque, canoa",integer,vivienda,vivienda_general
