country_guess,dataset_folder,path,file_name,extension,size_bytes,size_mb,likely_role,readable_by_duckdb,notes
Chile,BaseOrg16,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16_PROVINCI_REDCODEN.rbf,CPV2017-16_PROVINCI_REDCODEN.rbf,.rbf,112,0.0,unknown,no,"Ext: .rbf, Name: CPV2017-16_PROVINCI_REDCODEN.RBF"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C1020005.PTR,C1020005.PTR,.ptr,112,0.0,unknown,no,"Ext: .ptr, Name: C1020005.PTR"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_003.ptr,CD2010_003.ptr,.ptr,112,0.0,unknown,no,"Ext: .ptr, Name: CD2010_003.PTR"
Peru,BasePub,data/extracted/CP2007PER/CP2007PER/BasePub/Peru0002.ptr,Peru0002.ptr,.ptr,104,0.0,unknown,no,"Ext: .ptr, Name: PERU0002.PTR"
Peru,BaseR,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D-0002.ptr,CPVPER2017D-0002.ptr,.ptr,104,0.0,unknown,no,"Ext: .ptr, Name: CPVPER2017D-0002.PTR"
Argentina,BASE_AMP_DPTO,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV200002.ptr,CPV200002.ptr,.ptr,100,0.0,unknown,no,"Ext: .ptr, Name: CPV200002.PTR"
Chile,BaseOrg16,data/extracted/CP2017CHL/BaseOrg16/CPV2017-1602.ptr,CPV2017-1602.ptr,.ptr,68,0.0,unknown,no,"Ext: .ptr, Name: CPV2017-1602.PTR"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C102.ldb,C102.ldb,.ldb,64,0.0,unknown,no,"Ext: .ldb, Name: C102.LDB"
Chile,BaseOrg16,data/extracted/CP2017CHL/BaseOrg16/CPV2017-1603.rbf,CPV2017-1603.rbf,.rbf,56,0.0,unknown,no,"Ext: .rbf, Name: CPV2017-1603.RBF"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C1020003.BIN,C1020003.BIN,.bin,54,0.0,unknown,no,"Ext: .bin, Name: C1020003.BIN"
Peru,BasePub,data/extracted/CP2007PER/CP2007PER/BasePub/Peru0000.rbf,Peru0000.rbf,.rbf,50,0.0,unknown,no,"Ext: .rbf, Name: PERU0000.RBF"
Peru,BaseR,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D-0000.rbf,CPVPER2017D-0000.rbf,.rbf,50,0.0,unknown,no,"Ext: .rbf, Name: CPVPER2017D-0000.RBF"
Argentina,BASE_AMP_DPTO,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV200000.rbf,CPV200000.rbf,.rbf,48,0.0,unknown,no,"Ext: .rbf, Name: CPV200000.RBF"
Chile,BaseOrg16,data/extracted/CP2017CHL/BaseOrg16/CPV2017-1601.rbf,CPV2017-1601.rbf,.rbf,32,0.0,unknown,no,"Ext: .rbf, Name: CPV2017-1601.RBF"
Chile,BaseOrg16,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16_REGION_REDCODEN.rbf,CPV2017-16_REGION_REDCODEN.rbf,.rbf,32,0.0,unknown,no,"Ext: .rbf, Name: CPV2017-16_REGION_REDCODEN.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020004.RBF,CD1020004.RBF,.rbf,28,0.0,unknown,no,"Ext: .rbf, Name: CD1020004.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020003.RBF,CD1020003.RBF,.rbf,27,0.0,unknown,no,"Ext: .rbf, Name: CD1020003.RBF"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_004.rbf,CD2010_004.rbf,.rbf,27,0.0,unknown,no,"Ext: .rbf, Name: CD2010_004.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020002.PTR,CD1020002.PTR,.ptr,24,0.0,unknown,no,"Ext: .ptr, Name: CD1020002.PTR"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_002.ptr,CD2010_002.ptr,.ptr,24,0.0,unknown,no,"Ext: .ptr, Name: CD2010_002.PTR"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_005.rbf,CD2010_005.rbf,.rbf,24,0.0,unknown,no,"Ext: .rbf, Name: CD2010_005.RBF"
Argentina,BASE_AMP_DPTO,data/extracted/CP2010ARG/BASE_AMP_DPTO/PROV.rbf,PROV.rbf,.rbf,24,0.0,unknown,no,"Ext: .rbf, Name: PROV.RBF"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020001.PTR,CD1020001.PTR,.ptr,8,0.0,unknown,no,"Ext: .ptr, Name: CD1020001.PTR"
Chile,BaseOrg16,data/extracted/CP2017CHL/BaseOrg16/CPV2017-1601.ptr,CPV2017-1601.ptr,.ptr,8,0.0,unknown,no,"Ext: .ptr, Name: CPV2017-1601.PTR"
Chile,BaseOrg16,data/extracted/CP2017CHL/BaseOrg16/CPV2017-16_CENSO.ptr,CPV2017-16_CENSO.ptr,.ptr,8,0.0,unknown,no,"Ext: .ptr, Name: CPV2017-16_CENSO.PTR"
Brasil,BaseOriginal,data/extracted/Cp1991BRA/BaseOriginal/C1020002.PTR,C1020002.PTR,.ptr,8,0.0,unknown,no,"Ext: .ptr, Name: C1020002.PTR"
Peru,BasePub,data/extracted/CP2007PER/CP2007PER/BasePub/Peru0001.ptr,Peru0001.ptr,.ptr,8,0.0,unknown,no,"Ext: .ptr, Name: PERU0001.PTR"
Brasil,BaseR,data/extracted/CP2010BRA/BaseR/CD2010_001.ptr,CD2010_001.ptr,.ptr,8,0.0,unknown,no,"Ext: .ptr, Name: CD2010_001.PTR"
Peru,BaseR,data/extracted/CP2017PER/BaseD/BaseR/CPVPER2017D-0001.ptr,CPVPER2017D-0001.ptr,.ptr,8,0.0,unknown,no,"Ext: .ptr, Name: CPVPER2017D-0001.PTR"
Argentina,BASE_AMP_DPTO,data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV200001.ptr,CPV200001.ptr,.ptr,8,0.0,unknown,no,"Ext: .ptr, Name: CPV200001.PTR"
Brasil,BaseOriginal,data/extracted/Cp2000BRA/BaseOriginal/CD1020000.RBF,CD1020000.RBF,.rbf,5,0.0,unknown,no,"Ext: .rbf, Name: CD1020000.RBF"
